id;source;sample_name;suite_by_autor;classification_peate92;classification_peate97;latitude;longitude;elevation;localization;SiO2_nr;TiO2_nr;Al2O3_nr;FeO_nr;Fe2O3_nr;FeOt_nr;Fe2O3t_nr;MnO_nr;MgO_nr;CaO_nr;Na2O_nr;K2O_nr;P2O5_nr;LOI_nr;total_nr;SiO2;TiO2;Al2O3;Fe2O3t;MnO;MgO;CaO;Na2O;K2O;P2O5;total;Ti/Y;Ti/Zr;Zr/Y;Sr/Y;Ba/Y;Ba;Rb;Sr;Y;Zr;Nb;Ni;Cr;Sc;Co;La;Ce;Nd;Sm;Eu;Tb;Yb;Lu;Hf;Ta;Th;U;Pb;V;Cu;Zn;Ga;Cs;87Sr/86Sr_m;87Sr/86Sr_r;143Nd/144Nd_m;143Nd/144Nd_r;206Pb/204Pb_m;206Pb/204Pb_r;207Pb/204Pb_m;207Pb/204Pb_r;208Pb/204Pb_m;208Pb/204Pb_r;Coluna1;Coluna2
;Guedes. 2016;CB-DQ-02 ;;;;;;;north;51.71;3.54;12.36;;;13.64;15.16;0.2;3.47;7.01;2.87;2.04;0.58;0.06;99.0;52.26;3.58;12.49;15.32;0.2;3.51;7.09;2.9;2.06;0.59;100.0;461.74;67.43;6.85;10.15;13.76;633.0;54.0;467.0;46.0;315.0;31.0;63;;;;52.59;118.11;56.13;12.56;3.69;1.76;3.88;0.53;;;5.73;1.3;;;;;;;;;;;;;;;;;;
;Guedes. 2016;CB-DQ-01 ;;;;;;;north;52.07;3.63;12.67;;;13.78;15.31;0.19;3.42;7.05;2.91;2.06;0.59;0.17;100.07;52.12;3.63;12.68;15.33;0.19;3.42;7.06;2.91;2.06;0.59;99.99;468.19;69.03;6.78;10.5;13.72;631.0;53.0;483.0;46.0;312.0;30.0;66;;;;52.01;117.14;55.14;12.37;3.72;1.77;3.86;0.54;;;5.66;1.28;;;;;;;;;;;;;;;;;;
;Guedes. 2016;VR-ELS-9A ;;;;;;;north;52.39;3.25;12.95;;;11.68;12.98;0.18;3.43;6.82;3.03;2.18;0.73;0.95;98.89;53.49;3.32;13.22;13.25;0.18;3.5;6.96;3.09;2.23;0.75;99.99;468.99;63.13;7.43;14.9;17.0;714.0;53.0;626.0;42.0;312.0;34.0;;;;;53.3;116.0;57.0;12.3;3.93;1.7;3.6;0.6;;;5.6;1.3;;;;;;;0.71;;0.51;;;;;;;;;
;Guedes. 2016;NSA-ELS-3A ;;;;;;;north;52.45;3.14;13.51;;;10.66;11.85;0.16;3.45;6.55;3.17;2.48;0.81;1.39;98.96;53.76;3.22;13.85;12.14;0.16;3.54;6.71;3.25;2.54;0.83;100.0;516.33;58.96;8.76;28.11;25.68;950.0;65.0;1040.0;37.0;324.0;39.0;36;;;;67.2;142.0;66.5;13.4;4.43;1.6;2.9;0.39;;;7.0;1.6;;;;;;;0.71;;0.51;;;;;;;;;
;Guedes. 2016;NSA-ELS-1B ;;;;;;;north;52.59;3.11;13.32;;;10.46;11.62;0.17;3.42;5.88;3.16;2.86;0.82;2.18;99.13;54.24;3.21;13.74;11.99;0.18;3.53;6.06;3.26;2.95;0.85;100.01;488.33;58.24;8.38;24.54;27.05;1055.0;99.0;957.0;39.0;327.0;38.0;21;;;;67.6;144.0;67.7;13.6;4.46;1.6;3.0;0.42;;;7.1;1.6;;;;;;;0.71;;0.51;;;;;;;;;
;Guedes. 2016;VR-ELS-7 ;;;;;;;north;52.8;3.05;13.37;;;10.39;11.55;0.16;3.48;6.39;3.14;2.47;0.83;1.5;98.74;54.3;3.14;13.75;11.87;0.16;3.58;6.57;3.23;2.54;0.85;99.99;477.68;56.45;8.46;25.9;24.23;945.0;66.0;1010.0;39.0;330.0;40.0;50;;;;65.6;140.0;65.5;12.9;4.27;1.6;2.8;0.4;;;6.9;1.6;;;;;;;;;;;;;;;;;;
;Guedes. 2016;PR-L-29B ;;;;;;;north;52.9;3.34;13.79;;;11.81;13.12;0.19;3.66;7.22;3.07;2.01;0.69;1.21;101.2;52.91;3.34;13.79;13.13;0.19;3.66;7.22;3.07;2.01;0.69;100.01;508.11;66.05;7.69;18.23;17.87;697.0;51.0;711.0;39.0;300.0;30.0;38;;;;50.9;111.0;57.9;12.1;3.93;1.6;3.4;0.5;;;5.4;1.21;;;;;;;;;;;;;;;;;;
;Guedes. 2016;BP-5518 ;;;;;;;north;53.05;3.23;13.35;;;12.07;13.41;0.18;3.58;6.7;3.22;1.93;0.88;0.9;100.43;53.3;3.25;13.41;13.48;0.18;3.6;6.73;3.24;1.94;0.88;100.01;438.23;76.52;5.73;15.0;17.23;758.0;42.0;660.0;44.0;252.0;;;;;;45.9;102.0;12.8;11.2;3.5;;3.0;0.41;;;5.17;;;;;;;;;;;;;;;;;;;
;Guedes. 2016;PR-EG-01 ;;;;;;;north;53.24;3.3;12.42;;;13.54;15.05;0.19;3.11;6.8;2.91;2.23;0.66;0.12;100.03;53.29;3.3;12.43;15.06;0.19;3.11;6.81;2.91;2.23;0.66;99.99;416.57;56.59;7.36;10.55;15.17;713.0;64.0;496.0;47.0;346.0;27.0;44;;;;55.86;122.0;61.8;13.2;3.89;1.8;4.3;0.64;;;7.01;1.5;;;;;;;0.71;;0.51;;;;;;;;;
;Guedes. 2016;PR-61C ;;;;;;;north;53.55;3.46;13.79;;;10.76;11.96;0.17;3.48;5.92;3.43;3.13;0.77;3.31;102.97;53.73;3.47;13.84;12.0;0.17;3.49;5.94;3.44;3.14;0.77;99.99;605.52;65.57;9.24;32.94;36.18;1230.0;101.0;1120.0;34.0;314.0;39.0;59;;;;68;146.0;71.0;13.9;4.29;1.6;2.9;0.41;;;7.9;1.55;;;;;;;;;;;;;;;;;;
;Guedes. 2016;VR-288 ;;;;;;;north;53.56;3.1;13.79;;;10.18;11.31;0.16;3.5;6.49;3.11;2.24;0.88;1.44;99.58;54.58;3.16;14.05;11.53;0.16;3.57;6.61;3.17;2.28;0.9;100.01;457.28;66.96;6.83;28.05;24.32;997.0;72.0;1150.0;41.0;280.0;39.0;;;;;32.8;72.9;40.7;8.7;2.72;;1.9;0.23;;;8.8;;;;;;;;;;;;;;;;;;;
;Guedes. 2016;VR-ELS-8A ;;;;;;;north;54.72;2.71;13.07;;;8.68;9.65;0.13;4.26;5.98;2.95;3.52;0.45;1.32;98.76;56.16;2.78;13.41;9.9;0.13;4.37;6.14;3.03;3.61;0.46;99.99;589.06;42.95;13.71;29.29;41.43;1160.0;105.0;820.0;28.0;384.0;57.0;46;;;;84.5;174.0;69.8;12.1;3.35;1.2;2.3;0.34;;;11.5;2.5;;;;;;;0.71;;0.51;;;;;;;;;
;Hartmann. 2010;BR12;Gramado;;;;;;south;49.54;1.21;13.92;;;;12.26;0.16;6.08;9.26;2.06;0.56;0.14;4.6;99.79;52.04;1.27;14.62;12.88;0.17;6.39;9.73;2.16;0.59;0.15;100.0;292.05;64.4;4.53;8.57;6.9;178.0;13.2;221.0;25.8;117.0;7.6;33;;41.0;43;16.7;36.9;17.7;4.53;1.22;0.79;2.47;0.35;3.4;0.7;4.9;1.1;;331.0;92;;18.7;1;;;;;;;;;;;;
;Hartmann. 2010;PL1;Gramado;;;;;;south;49.65;1.0;14.3;;;;10.79;0.15;6.98;10.54;2.02;0.62;0.12;3.5;99.67;51.63;1.04;14.87;11.22;0.16;7.26;10.96;2.1;0.64;0.12;100.0;306.98;70.12;4.38;9.9;8.51;171.0;14.8;199.0;20.1;88.0;6.0;58;;40.0;42;12.2;26.6;13.4;3.48;1.07;0.65;2.03;0.29;2.4;0.4;2.7;0.8;;300.0;71;;17;1.4;;;;;;;;;;;;
;Hartmann. 2010;LMO;Gramado;;;;;;south;49.96;1.05;14.23;;;;11.29;0.18;7.12;10.86;1.88;0.24;0.12;2.8;99.73;51.54;1.08;14.68;11.65;0.19;7.35;11.2;1.94;0.25;0.12;100.0;300.83;69.65;4.32;9.72;6.01;128.0;4.6;207.0;21.3;92.0;6.1;59;;41.0;43.3;12.3;27.2;15.0;3.59;1.07;0.65;2.01;0.3;2.6;0.4;3.4;0.7;;279.0;52;;16.4;1;;;;;;;;;;;;
;Hartmann. 2010;PA11;Gramado;;;;;;south;50.16;0.89;14.61;;;;10.77;0.15;7.22;11.05;2.12;0.64;0.11;2.1;99.82;51.33;0.91;14.95;11.02;0.15;7.39;11.31;2.17;0.65;0.11;99.99;275.46;71.99;3.83;10.15;8.52;167.0;12.2;199.0;19.6;75.0;4.7;61;;39.0;41;10.1;23.0;12.8;3.3;0.91;0.55;1.86;0.28;2.0;0.4;2.1;0.4;;275.0;;;17.4;0.1;;;;;;;;;;;;
;Hartmann. 2010;BR17B;Gramado;;;;;;south;50.4;1.58;13.87;;;;13.36;0.12;3.0;6.31;2.8;2.46;0.24;5.6;99.74;53.54;1.68;14.73;14.19;0.13;3.19;6.7;2.97;2.61;0.25;99.99;325.73;66.45;4.9;8.37;11.99;367.0;61.0;256.0;30.6;150.0;13.2;23;;40.0;27;22.7;49.1;24.7;5.42;1.51;0.95;2.87;0.42;5.0;0.9;6.2;3.9;;271.0;97;;21.4;1.5;;;;;;;;;;;;
;Hartmann. 2010;PA12;Gramado;;;;;;south;50.59;0.9;14.41;;;;11.21;0.16;7.35;11.19;2.02;0.58;0.1;1.3;99.81;51.36;0.91;14.63;11.38;0.16;7.46;11.36;2.05;0.59;0.1;100.0;268.61;74.99;3.58;9.6;8.86;178.0;16.5;193.0;20.1;72.0;5.2;68;;40.0;43;10.2;23.6;9.9;2.5;0.98;0.56;1.56;0.23;2.5;0.3;1.6;0.5;;281.0;;;17.9;0.1;;;;;;;;;;;;
;Hartmann. 2010;LB2;Gramado;;;;;;south;50.71;0.95;14.36;;;;10.81;0.16;6.74;10.98;2.29;0.82;0.12;1.8;99.74;51.78;0.97;14.66;11.04;0.16;6.88;11.21;2.34;0.84;0.12;100.0;287.75;71.94;4.0;9.8;8.8;176.0;25.6;196.0;20.0;80.0;5.1;23;;40.0;44;10.5;22.3;12.5;3.04;0.96;0.61;1.88;0.28;2.6;0.3;2.5;0.6;;294.0;61;;16.7;0.5;;;;;;;;;;;;
;Hartmann. 2010;LB16;Gramado;;;;;;south;50.88;0.91;14.38;;;;10.56;0.15;6.87;10.92;2.2;0.67;0.11;2.1;99.75;52.1;0.93;14.73;10.81;0.15;7.04;11.18;2.25;0.69;0.11;99.99;299.87;77.71;3.86;10.43;8.26;152.0;15.3;192.0;18.4;71.0;4.4;20;;40.0;42;9.6;19.7;10.9;2.75;0.87;0.54;1.86;0.24;2.1;0.3;2.7;0.8;;289.0;60;;15.6;0.3;;;;;;;;;;;;
;Hartmann. 2010;BR4;Gramado;;;;;;south;50.97;1.13;14.81;;;;11.7;0.15;6.0;9.85;2.1;1.18;0.17;1.6;99.66;51.98;1.15;15.1;11.93;0.15;6.12;10.04;2.14;1.2;0.17;99.98;279.63;54.58;5.12;10.29;13.48;329.0;37.4;251.0;24.4;125.0;8.5;37;;37.0;49;18.3;39.3;21.5;4.47;1.21;0.77;2.35;0.35;3.6;0.5;4.3;0.9;;277.0;113;;17.2;0.9;;;;;;;;;;;;
;Hartmann. 2010;BR2A;Gramado;;;;;;south;50.97;1.06;15.71;;;;11.35;0.15;5.67;10.15;2.16;1.1;0.16;1.2;99.68;51.76;1.08;15.95;11.53;0.15;5.76;10.31;2.19;1.12;0.16;100.01;295.28;56.21;5.25;12.44;14.7;319.0;34.3;270.0;21.7;114.0;7.6;31;;35.0;46;16.9;37.2;20.2;4.11;1.18;0.71;2.12;0.31;3.2;0.5;3.8;0.8;;254.0;97;;17.6;0.7;;;;;;;;;;;;
;Hartmann. 2010;PA29;Gramado;;;;;;south;51.11;0.92;14.46;;;;10.7;0.16;7.12;11.14;2.01;0.49;0.1;1.6;99.81;52.04;0.94;14.72;10.9;0.16;7.25;11.34;2.05;0.5;0.1;100.0;278.85;69.71;4.0;10.5;9.2;184.0;13.9;210.0;20.0;80.0;4.6;54;;38.0;44;11.3;24.1;12.3;3.3;0.93;0.52;1.57;0.25;2.1;0.3;2.4;0.6;;284.0;;;18.6;0.3;;;;;;;;;;;;
;Hartmann. 2010;PA38;Gramado;;;;;;south;51.16;0.86;14.17;;;;11.27;0.16;7.35;10.95;2.09;0.7;0.1;1.0;99.81;51.78;0.87;14.34;11.41;0.16;7.44;11.08;2.12;0.71;0.1;100.01;217.79;72.7;3.0;8.65;7.3;173.0;22.4;205.0;23.7;71.0;4.8;64;;37.0;45;9.8;22.1;11.0;3.0;1.06;0.62;1.5;0.25;2.2;0.3;2.4;0.6;;283.0;;;17.7;0.5;;;;;;;;;;;;
;Hartmann. 2010;PA20;Gramado;;;;;;south;51.22;1.07;13.5;;;;14.12;0.17;5.62;9.05;2.44;1.26;0.14;1.3;99.89;51.95;1.09;13.69;14.32;0.17;5.7;9.18;2.47;1.28;0.14;99.99;234.31;57.74;4.06;7.68;11.05;305.0;41.0;212.0;27.6;112.0;11.5;86;;35.0;42;16.8;33.7;16.5;4.0;1.2;0.74;2.13;0.33;2.5;0.5;3.3;0.9;;314.0;;;17.4;1.1;;;;;;;;;;;;
;Hartmann. 2010;MCG;Gramado;;;;;;south;51.32;1.1;14.18;;;;11.22;0.16;6.55;10.11;2.06;0.53;0.13;2.3;99.66;52.71;1.13;14.56;11.52;0.16;6.73;10.38;2.12;0.54;0.13;99.98;295.34;62.66;4.71;10.66;9.74;221.0;18.6;242.0;22.7;107.0;7.7;51;;39.0;43;14.1;30.6;16.6;3.79;1.11;0.73;2.2;0.35;2.8;0.5;3.5;0.7;;324.0;107;;17.7;0.4;;;;;;;;;;;;
;Hartmann. 2010;PA6;Gramado;;;;;;south;51.34;1.08;14.13;;;;12.51;0.19;6.19;10.1;2.27;1.14;0.15;0.7;99.8;51.81;1.09;14.26;12.62;0.19;6.25;10.19;2.29;1.15;0.15;100.0;250.66;64.03;3.91;7.95;10.0;258.0;38.1;205.0;25.8;101.0;7.4;71;;37.0;41;15.8;34.1;18.6;4.4;1.18;0.72;2.42;0.3;3.0;0.5;3.6;1;;310.0;;;18.7;1.3;;;;;;;;;;;;
;Hartmann. 2010;PA41;Gramado;;;;;;south;51.4;1.04;14.06;;;;12.87;0.18;6.49;10.13;2.2;1.0;0.13;0.3;99.8;51.66;1.05;14.13;12.93;0.18;6.52;10.18;2.21;1.01;0.13;100.0;250.19;65.58;3.82;8.07;9.68;241.0;34.1;201.0;24.9;95.0;7.6;70;;37.0;43;13.9;30.6;16.6;3.7;1.16;0.62;1.96;0.36;2.8;0.5;3.7;0.8;;321.0;;;17.9;0.9;;;;;;;;;;;;
;Hartmann. 2010;PG12;Gramado;;;;;;south;51.41;1.06;14.44;;;;11.25;0.26;6.6;10.29;2.28;0.99;0.13;1.0;99.71;52.08;1.07;14.63;11.4;0.26;6.69;10.42;2.31;1.0;0.13;99.99;266.74;69.0;3.87;8.78;9.83;234.0;33.0;209.0;23.8;92.0;6.9;60;;40.0;44;13.6;29.2;15.1;3.69;1.11;0.69;2.12;0.31;3.0;0.4;3.2;0.7;;306.0;72;;17.4;0.9;;;;;;;;;;;;
;Hartmann. 2010;PA5;Gramado;;;;;;south;51.54;1.1;13.98;;;;12.56;0.19;6.53;10.0;2.23;1.14;0.14;0.4;99.81;51.85;1.11;14.06;12.63;0.19;6.57;10.06;2.24;1.15;0.14;100.0;263.43;64.57;4.08;8.28;9.52;238.0;40.0;207.0;25.0;102.0;7.1;59;;37.0;41;15.6;32.7;16.4;4.2;1.18;0.76;2.3;0.29;2.6;0.5;4.0;0.8;;316.0;;;18;1.3;;;;;;;;;;;;
;Hartmann. 2010;MD;Gramado;;;;;;south;51.55;1.1;14.11;;;;11.23;0.18;6.47;10.01;2.1;0.53;0.14;2.3;99.72;52.92;1.13;14.48;11.53;0.18;6.64;10.28;2.16;0.54;0.14;100.0;277.04;62.08;4.46;9.63;9.38;227.0;19.0;233.0;24.2;108.0;7.5;56;;40.0;43;15.2;33.5;18.8;4.32;1.18;0.8;2.29;0.36;3.1;0.5;3.4;0.8;;323.0;102;;17.4;0.5;;;;;;;;;;;;
;Hartmann. 2010;PA37;Gramado;;;;;;south;51.57;1.0;14.07;;;;11.38;0.17;6.72;10.24;2.1;0.95;0.11;1.5;99.81;52.46;1.02;14.31;11.58;0.17;6.84;10.42;2.14;0.97;0.11;100.02;266.59;68.0;3.92;8.77;8.72;198.0;29.5;199.0;22.7;89.0;6.3;54;;37.0;43;14;29.3;16.0;3.8;1.24;0.7;1.86;0.34;3.1;0.4;3.1;0.8;;306.0;;;16.9;0.9;;;;;;;;;;;;
;Hartmann. 2010;M2B;Gramado;;;;;;south;51.57;1.11;14.14;;;;11.37;0.17;6.58;10.24;2.09;0.53;0.13;1.8;99.73;52.66;1.13;14.44;11.61;0.17;6.72;10.46;2.13;0.54;0.13;99.99;299.3;62.66;4.78;10.45;10.76;241.0;12.2;234.0;22.4;107.0;7.2;11;;39.0;43;14.2;30.8;17.3;3.96;1.15;0.73;2.2;0.35;3.1;0.5;3.3;0.7;;319.0;64;;18;0.3;;;;;;;;;;;;
;Hartmann. 2010;PG111;Gramado;;;;;;south;51.64;1.02;14.16;;;;10.96;0.16;6.46;10.27;2.23;1.09;0.12;1.6;99.71;52.63;1.04;14.43;11.17;0.16;6.58;10.47;2.27;1.11;0.12;99.98;291.05;66.35;4.39;9.29;10.9;231.0;35.7;197.0;21.2;93.0;6.4;55;;40.0;44;12.5;27.9;13.9;3.65;1.06;0.65;1.95;0.3;2.7;0.4;3.1;0.7;;299.0;67;;17.5;1.3;;;;;;;;;;;;
;Hartmann. 2010;WW164;Gramado;;;;;;south;51.69;1.06;14.09;;;;10.89;0.17;6.36;9.99;2.26;1.08;0.15;1.3;99.04;52.89;1.08;14.42;11.14;0.17;6.51;10.22;2.31;1.1;0.15;99.99;284.78;59.88;4.76;8.76;10.8;243.0;24.1;197.0;22.5;107.0;8.8;155;;37.0;40;19.7;38.6;19.8;4.47;1.36;0.79;2.43;0.35;2.9;0.5;2.7;0.6;;278.0;110;;16.9;0.5;;;;;;;;;;;;
;Hartmann. 2010;PA7;Gramado;;;;;;south;51.71;1.07;14.16;;;;11.85;0.18;6.17;10.29;2.3;1.13;0.15;0.8;99.81;52.23;1.08;14.3;11.97;0.18;6.23;10.39;2.32;1.14;0.15;99.99;252.27;61.61;4.09;8.31;10.04;255.0;38.2;211.0;25.4;104.0;7.3;67;;37.0;42;15.4;34.6;17.7;4.1;1.29;0.79;2.51;0.3;3.1;0.5;3.6;0.9;;317.0;;;18.8;1.5;;;;;;;;;;;;
;Hartmann. 2010;PA26a;Gramado;;;;;;south;51.79;1.14;14.08;;;;11.88;0.18;5.49;9.47;2.25;1.27;0.14;2.1;99.79;53.01;1.17;14.41;12.16;0.18;5.62;9.69;2.3;1.3;0.14;99.98;249.7;55.98;4.46;8.42;9.68;269.0;29.1;234.0;27.8;124.0;7.9;40;;37.0;45;18.2;38.9;19.8;4.6;1.19;0.75;2.36;0.32;3.5;0.7;4.9;1;;326.0;;;20;0.6;;;;;;;;;;;;
;Hartmann. 2010;LV4;Gramado;;;;;;south;51.79;1.1;14.17;;;;11.31;0.17;6.39;9.88;2.06;0.53;0.14;2.2;99.74;53.1;1.13;14.53;11.6;0.17;6.55;10.13;2.11;0.54;0.14;100.0;263.95;60.95;4.33;9.72;9.53;242.0;21.4;247.0;25.4;110.0;8.0;63;;39.0;44;15.9;34.0;18.8;4.19;1.21;0.8;2.33;0.37;2.9;0.5;3.6;0.9;;332.0;79;;17.7;0.7;;;;;;;;;;;;
;Hartmann. 2010;G1541;Gramado;;;;;;south;51.98;1.1;14.42;;;;10.74;0.19;6.45;10.35;2.28;1.03;0.13;1.1;99.77;52.68;1.11;14.61;10.88;0.19;6.54;10.49;2.31;1.04;0.13;99.98;263.43;59.87;4.4;8.48;9.28;232.0;38.1;212.0;25.0;110.0;7.6;21;;37.0;44;15.2;31.6;17.0;4.11;1.2;0.76;2.39;0.36;3.5;0.5;3.3;0.9;;316.0;101;;18.3;1.5;;;;;;;;;;;;
;Hartmann. 2010;PA41;Gramado;;;;;;south;51.99;1.12;14.07;;;;12.47;0.19;5.97;9.74;2.26;1.18;0.15;0.8;99.94;52.44;1.13;14.19;12.58;0.19;6.02;9.82;2.28;1.19;0.15;99.99;261.89;65.09;4.02;8.12;10.66;273.0;41.8;208.0;25.6;103.0;8.3;65;;37.0;41;15.6;34.7;17.9;4.0;1.13;0.7;2.27;0.3;3.2;0.5;4.0;0.9;;324.0;;;18.3;1.5;;;;;;;;;;;;
;Hartmann. 2010;PA45;Gramado;;;;;;south;52.05;1.13;14.12;;;;11.91;0.16;5.28;9.7;2.65;1.27;0.15;1.5;99.92;52.89;1.15;14.35;12.1;0.16;5.36;9.86;2.69;1.29;0.15;100.0;246.32;60.92;4.04;8.19;9.06;251.0;39.3;227.0;27.7;112.0;7.9;56;;36.0;40;16.5;36.4;16.6;3.9;1.35;0.74;2.6;0.47;3.6;0.5;4.0;1.4;;313.0;;;18.8;0.9;;;;;;;;;;;;
;Hartmann. 2010;LV27;Gramado;;;;;;south;52.1;1.13;14.15;;;;11.21;0.17;6.2;9.59;2.36;1.14;0.13;1.5;99.68;53.07;1.15;14.41;11.42;0.17;6.31;9.77;2.4;1.16;0.13;99.99;263.43;61.47;4.29;8.65;10.27;266.0;39.3;224.0;25.9;111.0;7.8;22;;39.0;43;15.3;32.7;18.3;4.21;1.22;0.8;2.28;0.36;3.1;0.5;4.1;0.8;;338.0;146;;17.8;1.1;;;;;;;;;;;;
;Hartmann. 2010;G1525;Gramado;;;;;;south;52.19;1.11;14.15;;;;11.35;0.19;6.04;10.24;2.34;1.1;0.14;0.9;99.75;52.8;1.12;14.31;11.48;0.19;6.11;10.36;2.37;1.11;0.14;99.99;262.65;60.96;4.31;8.74;9.37;237.0;39.0;221.0;25.3;109.0;7.7;15;;36.0;42;14.8;31.4;17.1;3.94;1.18;0.76;2.35;0.36;3.2;0.5;3.8;0.9;;323.0;70;;17.8;1.3;;;;;;;;;;;;
;Hartmann. 2010;PA1;Gramado;;;;;;south;52.21;1.11;13.96;;;;12.31;0.18;6.06;9.77;2.28;1.19;0.15;0.7;99.92;52.62;1.12;14.07;12.41;0.18;6.11;9.85;2.3;1.2;0.15;100.01;257.56;64.51;3.99;8.37;11.24;290.0;40.7;216.0;25.8;103.0;7.1;59;;37.0;42;16.4;36.8;19.8;4.7;1.02;0.78;2.16;0.38;3.4;0.5;3.4;1;;335.0;;;18;1.4;;;;;;;;;;;;
;Hartmann. 2010;WW210;Gramado;;;;;;south;52.22;1.01;14.18;;;;10.93;0.18;6.65;10.67;2.18;0.68;0.12;1.2;100.02;52.84;1.02;14.35;11.06;0.18;6.73;10.8;2.21;0.69;0.12;100.0;280.17;70.37;3.98;9.81;9.68;209.0;13.4;212.0;21.6;86.0;6.1;49;;39.0;42;12;24.9;13.7;3.37;1.06;0.65;2.13;0.3;2.5;0.4;2.9;0.7;;313.0;114;;18.6;0.8;;;;;;;;;;;;
;Hartmann. 2010;PA10;Gramado;;;;;;south;52.22;1.19;13.73;;;;13.61;0.21;5.18;8.98;2.42;1.25;0.12;1.0;99.91;52.8;1.2;13.88;13.76;0.21;5.24;9.08;2.45;1.26;0.12;100.0;248.94;69.12;3.6;7.2;17.17;491.0;42.0;206.0;28.6;103.0;7.7;46;;34.0;42;18.4;37.3;19.5;4.5;1.25;0.73;2.46;0.36;3.9;0.5;3.7;0.9;;324.0;;;20.8;1;;;;;;;;;;;;
;Hartmann. 2010;PA29;Gramado;;;;;;south;52.23;1.09;14.15;;;;11.84;0.19;6.25;9.96;2.32;1.15;0.15;0.6;99.93;52.58;1.1;14.25;11.92;0.19;6.29;10.03;2.34;1.16;0.15;100.01;270.8;66.59;4.07;8.46;11.0;265.0;37.5;204.0;24.1;98.0;6.3;54;;37.0;40;14.5;33.5;16.2;3.9;1.02;0.66;1.78;0.33;3.3;0.4;3.7;0.9;;315.0;;;17.3;1.6;;;;;;;;;;;;
;Hartmann. 2010;PA43;Gramado;;;;;;south;52.29;1.14;13.93;;;;12.26;0.22;5.95;9.51;2.35;1.27;0.15;0.7;99.77;52.78;1.15;14.06;12.38;0.22;6.01;9.6;2.37;1.28;0.15;100.0;264.46;63.18;4.19;7.83;9.42;243.0;43.2;202.0;25.8;108.0;8.0;69;;35.0;43;16.9;37.3;19.2;4.6;1.3;0.86;2.26;0.4;3.0;0.6;3.3;0.9;;317.0;;;18.3;2;;;;;;;;;;;;
;Hartmann. 2010;PA8;Gramado;;;;;;south;52.3;1.07;14.16;;;;12.02;0.21;6.16;10.19;2.27;1.18;0.14;0.1;99.8;52.46;1.07;14.2;12.06;0.21;6.18;10.22;2.28;1.18;0.14;100.0;262.33;66.82;3.93;8.02;9.83;238.0;43.7;194.0;24.2;95.0;6.4;63;;37.0;40;14.3;32.1;17.5;4.4;1.18;0.67;2.36;0.32;2.9;0.5;3.7;0.9;;300.0;;;18.1;1.9;;;;;;;;;;;;
;Hartmann. 2010;COR;Gramado;;;;;;south;52.33;1.23;14.17;;;;12.03;0.21;5.69;9.1;2.36;1.47;0.16;1.0;99.75;52.99;1.25;14.35;12.18;0.21;5.76;9.22;2.39;1.49;0.16;100.0;278.81;63.93;4.36;7.82;10.75;286.0;53.0;208.0;26.6;116.0;8.1;46;;39.0;40;17.3;37.2;19.4;4.47;1.25;0.79;2.45;0.36;3.7;0.5;4.5;1.1;;329.0;121;;17.9;2;;;;;;;;;;;;
;Hartmann. 2010;WW175;Gramado;;;;;;south;52.39;0.88;14.29;;;;10.94;0.17;6.78;10.22;2.01;0.88;0.1;1.2;99.86;53.1;0.89;14.48;11.09;0.17;6.87;10.36;2.04;0.89;0.1;99.99;288.54;63.62;4.54;10.11;9.73;178.0;32.2;185.0;18.3;83.0;6.5;261;;43.0;46;14.4;29.6;15.2;3.6;1.14;0.65;1.93;0.28;2.3;0.4;2.4;0.6;;283.0;172;;17;0.9;;;;;;;;;;;;
;Hartmann. 2010;LV9;Gramado;;;;;;south;52.39;1.13;14.33;;;;11.63;0.18;6.04;9.88;2.34;1.21;0.13;0.4;99.66;52.78;1.14;14.44;11.72;0.18;6.09;9.95;2.36;1.22;0.13;100.01;266.28;60.39;4.41;8.62;10.24;260.0;43.4;219.0;25.4;112.0;8.0;25;;39.0;46;15.9;34.7;18.2;4.13;1.2;0.78;2.24;0.37;3.2;0.5;3.8;0.9;;347.0;98;;18.8;1.6;;;;;;;;;;;;
;Hartmann. 2010;PG44;Gramado;;;;;;south;52.41;1.19;14.15;;;;11.56;0.16;5.5;9.44;2.65;1.28;0.14;1.3;99.78;53.22;1.21;14.37;11.74;0.16;5.58;9.59;2.69;1.3;0.14;100.0;284.88;66.47;4.29;8.57;10.67;269.0;38.3;216.0;25.2;108.0;7.7;45;;38.0;41;15.9;33.9;17.3;4.08;1.18;0.76;2.35;0.35;3.2;0.5;3.9;1;;314.0;95;;18;1.2;;;;;;;;;;;;
;Hartmann. 2010;WW181;Gramado;;;;;;south;52.45;0.96;14.53;;;;10.84;0.17;6.59;10.2;2.31;1.02;0.11;1.0;100.18;52.88;0.97;14.65;10.93;0.17;6.64;10.28;2.33;1.03;0.11;99.99;265.21;60.58;4.38;8.8;11.61;252.0;30.2;191.0;21.7;95.0;7.1;179;;40.0;42;18.5;30.0;19.0;4.28;1.36;0.79;2.14;0.3;2.5;0.4;2.3;0.5;;280.0;71;;18.5;0.7;;;;;;;;;;;;
