id;source;sample_name;suite_by_autor;classification_peate92;classification_peate97;latitude;longitude;elevation;localization;SiO2_nr;TiO2_nr;Al2O3_nr;FeO_nr;Fe2O3_nr;FeOt_nr;Fe2O3t_nr;MnO_nr;MgO_nr;CaO_nr;Na2O_nr;K2O_nr;P2O5_nr;LOI_nr;total_nr;SiO2;TiO2;Al2O3;Fe2O3t;MnO;MgO;CaO;Na2O;K2O;P2O5;total;Ti/Y;Ti/Zr;Zr/Y;Sr/Y;Ba/Y;Ba;Rb;Sr;Y;Zr;Nb;Ni;Cr;Sc;Co;La;Ce;Nd;Sm;Eu;Tb;Yb;Lu;Hf;Ta;Th;U;Pb;V;Cu;Zn;Ga;Cs;87Sr/86Sr_m;87Sr/86Sr_r;143Nd/144Nd_m;143Nd/144Nd_r;206Pb/204Pb_m;206Pb/204Pb_r;207Pb/204Pb_m;207Pb/204Pb_r;208Pb/204Pb_m;208Pb/204Pb_r;Coluna1;Coluna2
;Peate. 1989;DSM26;;;;;;;south;;;;;;;;;;;;;;;0.0;51.77;3.39;13.8;12.1;0.17;4.36;8.34;2.75;2.85;0.46;99.99;574.65;68.18;8.43;22.31;16.54;579.0;39.0;781.0;35.0;295.0;26.0;63;78;25.0;;39.9;93.1;51.7;10.8;3.56;1.59;2.83;0.44;7.59;1.9;4.47;1.4;;;182;107;23;;0.71;0.71;0.51;0.51;17.674;;15.511;;38.26;;;
;Peate. 1989;DSM33;;;;;;;south;;;;;;;;;;;;;;;0.0;50.71;3.46;14.21;13.04;0.18;4.89;8.91;2.93;1.21;0.48;100.02;570.23;77.76;7.33;24.47;20.44;736.0;19.0;881.0;36.0;264.0;30.0;56;76;;43;;;;;;;;;;;;;;;159;108;26;;;;;;;;;;;;;
;Peate. 1989;DUP01;;;;;;;south;;;;;;;;;;;;;;;0.0;51.55;3.89;13.14;13.33;0.18;4.8;9.15;2.5;0.93;0.54;100.01;607.35;78.24;7.76;22.42;15.58;592.0;10.0;852.0;38.0;295.0;29.0;57;84;;38;;;;;;;;;;;;;;;171;122;26;;;;;;;;;;;;;
;Peate. 1989;DUP46;;;;;;;south;;;;;;;;;;;;;;;0.0;51.93;3.5;13.06;12.99;0.16;4.46;7.85;3.68;1.85;0.52;100.0;546.46;71.61;7.63;15.89;12.03;457.0;43.0;604.0;38.0;290.0;28.0;45;82;;33;;;;;;;;;;;;;;;152;98;22;;;;;;;;;;;;;
;Peate. 1989;DW23;;;;;;;south;;;;;;;;;;;;;;;0.0;47.64;1.69;15.19;12.77;0.58;5.8;12.29;3.67;0.16;0.21;100.0;286.48;92.84;3.09;5.83;4.34;152.0;2.0;204.0;35.0;108.0;6.0;61;130;;48;;;;;;;;;;;;;;;242;122;25;;0.71;0.71;0.51;0.51;18.72;;15.65;;38.73;;;
;Peate. 1989;DW25;;;;;;;south;;;;;;;;;;;;;;;0.0;50.6;1.84;16.25;14.37;0.25;4.35;9.1;2.67;0.4;0.17;100.0;259.92;82.08;3.17;6.02;;;13.0;253.0;42.0;133.0;7.4;64;;;;;;;;;;;;;;;;;;270;136;25;;;;;;;;;;;;;
;Peate. 1989;PAR01;;;;;;;south;;;;;;;;;;;;;;;0.0;50.09;2.83;13.46;14.64;0.2;5.32;9.43;2.45;1.17;0.4;99.99;47.16;266.51;0.18;0.6;0.28;100.0;63.0;213.0;356.0;63.0;213.0;39;170;13.0;22;311;;;;;;;;;;;;;395.0;;;;;0.71;0.71;;;17.979;;15.525;;38.4;;;
;Peate. 1989;PAR02;;;;;;;south;;;;;;;;;;;;;;;0.0;;;;;;;;;;;0.0;;;4.67;4.7;9.58;412.0;78.0;202.0;43.0;201.0;15.0;13;153;;;;;;;;;;;;;;;;;130;117;25;;0.71;0.71;;;17.807;;15.503;;38.27;;;
;Peate. 1989;PAR03;;;;;;;south;;;;;;;;;;;;;;;0.0;50.51;2.81;13.11;15.58;0.23;4.51;8.81;2.53;1.34;0.57;100.0;427.48;90.12;4.74;5.26;10.03;391.0;66.0;205.0;39.0;185.0;14.0;17;405;;;;;;;;;;;;;;;;379.0;;;;;0.71;0.71;;;18.011;;15.533;;38.44;;;
;Peate. 1989;PAR04;;;;;;;south;;;;;;;;;;;;;;;0.0;50.14;2.29;13.61;14.97;0.21;5.48;9.55;2.48;1.02;0.26;100.01;503.21;93.7;5.37;14.85;12.56;339.0;24.0;401.0;27.0;145.0;13.0;64;158;;;;;;;;;;;;;;;;;245;105;17;;0.71;0.71;;;;;;;;;;
;Peate. 1989;PAR06;;;;;;;south;;;;;;;;;;;;;;;0.0;;;;;;;;;;;0.0;;;6.08;10.55;12.28;491.0;32.0;422.0;40.0;243.0;22.0;32;237;;;;;;;;;;;;;;;;;187;102;22;;0.71;0.71;;;18.058;;15.562;;38.52;;;
;Peate. 1989;PAR07;;;;;;;south;;;;;;;;;;;;;;;0.0;50.36;2.16;13.9;14.15;0.2;5.69;9.88;2.45;0.95;0.26;100.0;427.18;98.58;4.33;13.53;10.0;300.0;20.0;406.0;30.0;130.0;11.0;64;235;;;;;;;;;;;;;;;;;223;102;21;;0.71;0.71;;;;;;;;;;
;Peate. 1989;PAR08;;;;;;;south;;;;;;;;;;;;;;;0.0;51.27;3.3;12.88;15.21;0.24;4.14;8.17;2.74;1.58;0.47;100.0;515.23;77.08;6.68;11.0;13.21;502.0;33.0;418.0;38.0;254.0;25.0;32;47;;;;;;;;;;;;;;;;340.0;;;;;0.71;0.71;;;;;;;;;;
;Peate. 1989;PAR09;;;;;;;south;;;;;;;;;;;;;;;0.0;49.81;2.36;13.64;14.95;0.21;5.47;9.75;2.53;1.03;0.26;100.01;482.82;91.52;5.28;15.76;11.28;327.0;24.0;457.0;29.0;153.0;13.0;57;205;;;;;;;;;;;;;;;;396.0;;;;;0.71;0.71;;;;;;;;;;
;Peate. 1989;PAR10;;;;;;;south;;;;;;;;;;;;;;;0.0;;;;;;;;;;;0.0;;;6.16;11.46;11.22;415.0;29.0;424.0;37.0;228.0;17.0;28;108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Peate. 1989;PAR11;;;;;;;south;;;;;;;;;;;;;;;0.0;;;;;;;;;;;0.0;;;5.85;10.25;11.55;462.0;30.0;410.0;40.0;234.0;19.0;28;264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Peate. 1989;PAR12;;;;;;;south;;;;;;;;;;;;;;;0.0;;;;;;;;;;;0.0;;;5.89;11.13;11.55;439.0;31.0;423.0;38.0;224.0;20.0;26;282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Peate. 1989;PAR16;;;;;;;south;;;;;;;;;;;;;;;0.0;;;;;;;;;;;0.0;;;5.1;11.77;10.47;314.0;20.0;353.0;30.0;153.0;15.0;58;373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Peate. 1989;PAR17;;;;;;;south;;;;;;;;;;;;;;;0.0;;;;;;;;;;;0.0;;;5.1;11.9;10.6;318.0;24.0;357.0;30.0;153.0;14.0;56;261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Peate. 1989;PAR18;;;;;;;south;;;;;;;;;;;;;;;0.0;;;;;;;;;;;0.0;;;5.33;13.78;11.48;310.0;25.0;372.0;27.0;144.0;13.0;64;122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Peate. 1989;PAR19;;;;;;;south;;;;;;;;;;;;;;;0.0;;;;;;;;;;;0.0;;;6.44;12.53;13.39;482.0;34.0;451.0;36.0;232.0;21.0;39;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Peate. 1989;PAR20;;;;;;;south;;;;;;;;;;;;;;;0.0;;;;;;;;;;;0.0;;;6.29;10.0;12.68;520.0;34.0;410.0;41.0;258.0;22.0;26;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Peate. 1989;PAR21;;;;;;;south;;;;;;;;;;;;;;;0.0;;;;;;;;;;;0.0;;;4.72;11.28;8.28;265.0;22.0;361.0;32.0;151.0;13.0;75;174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Peate. 1989;PAR22;;;;;;;south;;;;;;;;;;;;;;;0.0;;;;;;;;;;;0.0;;;5.23;12.33;10.37;311.0;23.0;370.0;30.0;157.0;14.0;61;182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Peate. 1989;PAR23;;;;;;;south;;;;;;;;;;;;;;;0.0;;;;;;;;;;;0.0;;;5.29;13.21;12.82;359.0;26.0;370.0;28.0;148.0;11.0;63;108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Peate. 1989;PAR24;;;;;;;south;;;;;;;;;;;;;;;0.0;;;;;;;;;;;0.0;;;4.62;10.91;9.44;302.0;40.0;349.0;32.0;148.0;12.0;60;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Peate. 1989;PAR26;;;;;;;south;;;;;;;;;;;;;;;0.0;;;;;;;;;;;0.0;;;4.62;10.59;8.91;303.0;25.0;360.0;34.0;157.0;14.0;60;267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
